I0,I1,I2,I3,I4,I5
0.200000,0.010000,-1.050000,-5.890000,-1.440000,3.560000
0.190000,0.010000,-1.060000,-5.790000,-1.490000,2.760000
0.180000,0.010000,-1.060000,-5.490000,-1.880000,2.560000
0.190000,0.000000,-1.050000,-5.880000,-0.890000,2.470000
0.190000,0.010000,-1.050000,-5.820000,-1.520000,2.560000
0.180000,0.000000,-1.060000,-5.710000,-1.440000,2.690000
0.180000,0.010000,-1.050000,-5.760000,-1.240000,2.490000
0.190000,0.000000,-1.060000,-5.730000,-1.250000,2.560000
0.180000,0.010000,-1.060000,-5.660000,-1.920000,2.730000
0.190000,0.010000,-1.050000,-5.650000,-1.960000,3.980000
0.130000,0.080000,-1.180000,-14.750000,28.219999,35.020000
0.230000,-0.100000,-1.040000,-7.880000,22.309999,1.530000
0.220000,-0.020000,-1.070000,5.790000,60.980000,-17.049999
0.180000,-0.100000,-1.000000,41.560001,-14.010000,-11.250000
0.230000,-0.140000,-1.110000,21.309999,-48.759998,-12.360000
0.290000,-0.150000,-1.380000,-22.870001,-46.080002,37.070000
-0.060000,-0.020000,-1.150000,-89.790001,-70.839996,11.690000
0.180000,-0.160000,-1.060000,9.650000,-49.270000,-8.200000
-0.660000,0.330000,-1.130000,-25.770000,0.160000,-23.030001
-0.230000,-0.070000,-0.860000,31.980000,-0.930000,-23.110001
0.140000,-0.200000,-1.000000,22.980000,12.110000,-39.250000
-0.090000,-0.100000,-1.430000,80.080002,10.770000,3.420000
-0.020000,-0.290000,-2.000000,37.990002,36.619999,31.010000
-0.160000,-0.140000,-1.020000,19.600000,-14.730000,33.310001
-0.130000,-0.220000,-1.020000,-13.860000,-24.100000,-17.020000
-0.320000,-0.230000,-1.180000,-23.490000,-43.930000,-17.799999
-0.320000,-0.270000,-1.350000,-43.529999,-34.529999,-12.880000
-0.390000,-0.080000,-0.820000,-15.950000,-106.849998,6.980000
-0.570000,-0.050000,-0.860000,-18.730000,-106.970001,17.799999
-0.540000,-0.110000,-0.850000,2.470000,-64.029999,-8.210000
-0.780000,-0.190000,-0.970000,1.150000,-85.309998,3.020000
-0.600000,-0.240000,-0.590000,6.080000,-8.630000,-55.919998
-0.690000,-0.320000,-0.430000,-7.660000,-47.849998,-47.849998
-0.720000,-0.330000,-0.560000,-12.940000,-68.809998,-63.310001
-0.780000,-0.360000,-0.470000,8.490000,-63.450001,-49.599998
-0.700000,-0.430000,-0.200000,4.050000,-39.240002,-33.389999
-0.720000,-0.580000,-0.490000,22.270000,-23.629999,-34.270000
-0.830000,-0.590000,-0.260000,45.439999,15.800000,-25.110001
-0.740000,-0.450000,-0.060000,-8.360000,1.960000,2.450000
-0.950000,-0.430000,-0.140000,1.410000,21.370001,-22.110001
-1.010000,-0.410000,-0.080000,-15.980000,-25.020000,37.400002
-0.450000,-0.440000,-0.060000,-1.340000,-5.630000,6.110000
-1.160000,-0.430000,-0.220000,4.310000,43.180000,-67.529999
-1.020000,-0.430000,-0.100000,-21.740000,-33.660000,64.400002
-0.430000,-0.440000,-0.060000,-5.950000,-22.940001,32.369999
-0.700000,-0.460000,-0.160000,7.650000,23.559999,-58.860001
-1.290000,-0.390000,-0.160000,-11.290000,-6.520000,-5.710000
-0.580000,-0.420000,-0.800000,-0.850000,36.310001,10.120000
-0.530000,-0.400000,-0.790000,-9.780000,30.750000,7.810000
-0.490000,-0.350000,-0.770000,-13.740000,27.080000,13.280000
-0.500000,-0.370000,-0.840000,5.250000,34.290001,-1.750000
-0.390000,-0.410000,-0.900000,-12.650000,19.820000,4.560000
-0.400000,-0.390000,-0.960000,-1.880000,8.840000,-4.530000
-0.280000,-0.410000,-0.850000,0.480000,-6.470000,-5.780000
-0.260000,-0.490000,-0.880000,21.680000,14.220000,-33.529999
-0.290000,-0.480000,-0.960000,-10.810000,29.879999,-50.189999
-0.560000,-0.460000,-0.910000,-12.080000,19.980000,-37.700001
-0.220000,-0.460000,-0.830000,-39.470001,-67.949997,66.430000
-0.100000,-0.520000,-0.990000,29.420000,-40.090000,17.790001
0.010000,-0.580000,-0.930000,47.340000,-12.740000,-17.650000
-0.010000,-0.670000,-0.580000,74.910004,15.680000,-71.440002
-0.490000,-0.730000,-1.020000,83.980003,-14.190000,-70.750000
-0.440000,-0.660000,-0.530000,53.490002,-4.590000,-11.220000
-0.530000,-0.820000,-0.700000,65.239998,11.790000,16.760000
0.070000,-0.810000,-0.160000,14.150000,-27.730000,22.870001
0.050000,-1.080000,-0.420000,45.810001,-23.840000,-35.020000
-0.090000,-0.780000,-0.210000,-27.469999,-15.700000,-23.780001
-0.310000,-0.950000,-0.510000,38.880001,20.480000,-55.560001
-0.310000,-0.920000,-0.470000,-14.220000,-14.660000,-3.990000
-0.350000,-0.920000,-0.470000,22.170000,-9.410000,13.780000
-0.170000,-0.940000,-0.290000,17.660000,-50.529999,60.389999
-0.090000,-0.970000,-0.280000,-6.270000,-29.770000,37.520000
-0.030000,-0.950000,-0.160000,-1.240000,-15.920000,9.210000
-0.120000,-0.970000,-0.300000,5.020000,30.360001,-53.930000
-0.350000,-0.970000,-0.360000,-5.550000,34.660000,-58.049999
-0.520000,-0.920000,-0.380000,-14.080000,10.740000,-3.980000
-0.220000,-0.990000,-0.290000,-5.950000,-20.340000,46.730000
-0.090000,-0.970000,-0.280000,-4.990000,-21.469999,34.020000
-0.020000,-0.960000,-0.270000,-1.960000,1.460000,3.210000
-0.040000,-0.970000,-0.240000,-0.370000,1.370000,-20.160000
-0.320000,-0.950000,-0.300000,-11.700000,29.760000,-43.660000
-0.450000,-0.930000,-0.330000,-10.530000,-1.150000,1.080000
-0.310000,-0.970000,-0.370000,0.890000,-3.510000,21.650000
-0.100000,-0.980000,-0.260000,-8.680000,-5.770000,33.980000
0.000000,-0.950000,-0.230000,-8.370000,-8.480000,13.370000
-0.070000,-0.950000,-0.230000,-1.220000,-6.710000,-2.340000
-0.230000,-0.950000,-0.330000,-4.700000,17.500000,-37.910000
-0.380000,-0.960000,-0.340000,-7.850000,-3.690000,2.310000
-0.380000,-0.960000,-0.350000,-9.420000,1.050000,3.730000
-0.190000,-0.960000,-0.300000,-14.110000,-14.330000,34.529999
-0.030000,-0.940000,-0.250000,-8.310000,-13.400000,21.209999
-0.080000,-0.940000,-0.230000,-5.780000,-13.460000,1.740000
-0.150000,-0.970000,-0.320000,-2.910000,7.160000,-32.110001
-0.460000,-0.940000,-0.450000,-2.630000,5.820000,-26.690001
-0.420000,-0.980000,-0.330000,-8.800000,-9.790000,27.090000
-0.150000,-0.960000,-0.280000,-14.180000,-15.690000,32.599998
-0.070000,-0.920000,-0.270000,-10.240000,-18.600000,21.270000
0.000000,-0.940000,-0.250000,-2.120000,-1.030000,0.290000
-0.210000,-0.970000,-0.390000,-2.780000,7.220000,-41.860001
-0.520000,-0.910000,-0.350000,-0.960000,10.370000,-23.940001
-0.400000,-0.960000,-0.260000,0.070000,11.580000,11.890000
-0.230000,-0.950000,-0.240000,-12.490000,-0.340000,30.650000
-0.030000,-0.940000,-0.330000,-12.120000,-19.760000,28.760000
-0.050000,-0.930000,-0.250000,-1.420000,-2.020000,-1.560000
-0.080000,-0.990000,-0.360000,1.850000,-1.690000,-29.410000
-0.400000,-0.920000,-0.300000,-1.720000,6.240000,-15.810000
-0.420000,-0.980000,-0.280000,-10.080000,-0.180000,3.430000
-0.320000,-0.960000,-0.380000,-15.100000,0.950000,26.850000
-0.090000,-0.930000,-0.310000,-13.380000,-14.020000,28.320000
-0.020000,-0.920000,-0.230000,-3.840000,1.000000,-1.300000
-0.050000,-0.950000,-0.240000,2.210000,-15.910000,-13.500000
-0.440000,-0.960000,-0.350000,-4.750000,12.770000,-14.710000
-0.370000,-0.990000,-0.350000,-6.080000,1.300000,-2.540000
-0.320000,-0.970000,-0.330000,-7.420000,3.180000,25.290001
-0.080000,-0.900000,-0.230000,-14.440000,-21.719999,32.020000
0.020000,-0.920000,-0.240000,-4.660000,-3.980000,6.850000
-0.090000,-1.010000,-0.310000,5.690000,-7.980000,-22.070000
-0.450000,-0.960000,-0.420000,-8.430000,18.540001,-48.180000
-0.480000,-0.920000,-0.270000,-0.920000,-11.100000,27.879999
-0.230000,-0.980000,-0.320000,-6.690000,3.660000,18.459999
-0.080000,-0.930000,-0.300000,-15.450000,-17.760000,26.990000
-0.030000,-0.920000,-0.230000,-2.470000,-1.630000,7.820000
-0.120000,-0.960000,-0.320000,3.680000,-0.620000,-30.920000
-0.490000,-0.950000,-0.350000,-4.270000,5.150000,-28.580000
-0.440000,-0.960000,-0.360000,-2.810000,3.430000,10.830000
-0.220000,-0.960000,-0.360000,-8.620000,-1.290000,29.690001
-0.060000,-0.920000,-0.220000,-9.150000,-18.180000,25.930000
-0.060000,-0.910000,-0.180000,-5.000000,-3.020000,-0.070000
-0.260000,-0.940000,-0.360000,-0.390000,6.390000,-29.400000
-0.420000,-0.950000,-0.360000,-5.160000,4.390000,-16.920000
-0.490000,-0.940000,-0.300000,-7.690000,3.360000,8.910000
-0.190000,-0.950000,-0.330000,-11.530000,-2.610000,25.950001
-0.090000,-0.920000,-0.260000,-10.660000,-10.380000,23.240000
-0.060000,-0.910000,-0.200000,-2.010000,3.940000,2.060000
-0.230000,-0.950000,-0.310000,1.180000,2.040000,-19.420000
-0.350000,-0.930000,-0.280000,-8.290000,-1.090000,-14.590000
-0.460000,-0.950000,-0.280000,-6.390000,7.090000,-5.620000
-0.320000,-0.940000,-0.310000,-6.900000,4.440000,18.940001
-0.160000,-0.940000,-0.320000,-12.920000,-6.740000,28.309999
-0.030000,-0.920000,-0.260000,-7.780000,-6.120000,11.150000
-0.110000,-0.940000,-0.240000,0.410000,-5.480000,-2.180000
-0.220000,-0.980000,-0.380000,-4.150000,16.530001,-46.560001
-0.520000,-0.920000,-0.340000,-7.640000,-3.530000,-4.560000
-0.340000,-0.970000,-0.380000,-2.750000,2.240000,12.910000
-0.210000,-0.950000,-0.280000,-12.430000,-10.460000,31.510000
-0.020000,-0.960000,-0.260000,-10.370000,-16.700001,11.020000
-0.270000,-0.910000,-0.340000,-5.570000,0.630000,-6.710000
-0.180000,-0.930000,-0.300000,-4.940000,-7.350000,9.350000
-0.290000,-0.910000,-0.280000,-2.890000,-1.830000,1.790000
-0.120000,-0.940000,-0.260000,-3.400000,-7.560000,2.690000
-0.320000,-0.920000,-0.320000,-4.180000,13.010000,-23.240000
-0.190000,-0.980000,-0.370000,-2.350000,-6.760000,1.530000
-0.380000,-0.930000,-0.270000,-4.310000,-1.470000,-6.670000
-0.220000,-0.960000,-0.270000,-6.270000,-7.450000,4.200000
-0.260000,-0.950000,-0.300000,-4.650000,-0.220000,2.200000
-0.210000,-0.950000,-0.250000,-6.860000,-0.490000,-0.460000
-0.230000,-0.950000,-0.290000,-5.630000,-1.240000,2.440000
-0.300000,-0.950000,-0.260000,-4.470000,5.040000,6.110000
-0.280000,-0.940000,-0.270000,-5.480000,0.000000,10.780000
-0.220000,-0.930000,-0.310000,-3.950000,-11.890000,25.370001
-0.120000,-0.950000,-0.250000,-3.630000,-15.880000,11.940000
-0.290000,-0.930000,-0.290000,-4.980000,1.480000,1.000000
-0.230000,-0.930000,-0.250000,-5.480000,2.560000,-1.230000
-0.290000,-0.920000,-0.280000,-5.880000,-2.010000,2.440000
-0.290000,-0.930000,-0.320000,-4.930000,-0.930000,3.180000
-0.250000,-0.930000,-0.260000,-6.670000,0.850000,4.400000
-0.100000,-0.910000,-0.180000,-4.430000,-15.900000,7.370000
-0.100000,-1.030000,-0.350000,-1.540000,-11.470000,-36.330002
-0.450000,-0.910000,-0.300000,-7.150000,-5.270000,-6.030000
-0.240000,-0.990000,-0.290000,-8.940000,2.690000,-1.780000
-0.260000,-0.950000,-0.240000,-7.560000,-0.180000,3.310000
-0.220000,-0.960000,-0.240000,-5.000000,-0.950000,1.140000
-0.200000,-0.960000,-0.250000,-6.410000,1.080000,4.370000
-0.210000,-0.950000,-0.270000,-4.350000,-1.260000,2.990000
-0.230000,-0.950000,-0.260000,-4.500000,-1.600000,3.760000
-0.240000,-0.940000,-0.250000,-5.240000,-3.690000,2.860000
-0.350000,-0.990000,-0.290000,-0.560000,10.990000,-6.790000
-0.450000,-0.880000,-0.270000,-10.790000,-3.660000,29.950001
-0.020000,-1.010000,-0.310000,-0.820000,-12.040000,28.400000
-0.200000,-0.930000,-0.200000,-0.700000,1.190000,-6.050000
-0.220000,-0.940000,-0.190000,-4.580000,-1.150000,-2.370000
-0.300000,-0.950000,-0.230000,-6.630000,-6.300000,7.560000
-0.320000,-0.940000,-0.260000,-8.080000,-3.550000,3.050000
-0.230000,-0.930000,-0.250000,-9.090000,0.550000,9.560000
-0.100000,-0.910000,-0.180000,-9.190000,-5.760000,10.050000
-0.130000,-1.010000,-0.320000,-0.990000,-2.180000,-35.500000
-0.470000,-0.910000,-0.240000,-7.850000,13.540000,-15.470000
-0.200000,-0.970000,-0.230000,-11.730000,4.300000,-0.980000
-0.330000,-0.940000,-0.230000,-10.160000,2.250000,-0.700000
-0.310000,-0.960000,-0.260000,-5.110000,7.410000,-0.630000
-0.320000,-0.940000,-0.230000,-9.410000,6.240000,31.450001
-0.110000,-0.980000,-0.320000,-8.200000,-3.510000,25.660000
-0.090000,-0.950000,-0.250000,-3.030000,-7.470000,7.530000
-0.230000,-0.930000,-0.270000,-2.130000,-4.790000,6.980000
-0.200000,-0.920000,-0.240000,-3.650000,-3.570000,4.630000
-0.010000,-0.960000,-0.260000,-4.750000,-14.270000,-5.550000
-0.400000,-0.940000,-0.300000,-8.690000,5.710000,-39.599998
-0.250000,-0.960000,-0.210000,-7.480000,-4.150000,3.530000
-0.330000,-0.960000,-0.230000,-10.440000,2.660000,-5.450000
-0.220000,-0.970000,-0.280000,-5.980000,2.200000,1.500000
-0.410000,-0.920000,-0.290000,-2.870000,8.200000,16.180000
-0.030000,-1.020000,-0.320000,-6.820000,1.540000,30.090000
-0.020000,-0.970000,-0.240000,-0.770000,-5.380000,3.000000
-0.240000,-0.930000,-0.230000,-5.630000,-4.900000,4.740000
-0.040000,-0.950000,-0.200000,-6.730000,-18.549999,2.570000
-0.260000,-0.960000,-0.360000,-2.890000,7.090000,-43.250000
-0.400000,-0.940000,-0.360000,-0.550000,-6.210000,-4.630000
-0.400000,-0.990000,-0.320000,-0.820000,13.240000,-0.560000
-0.260000,-0.990000,-0.190000,-13.090000,0.850000,47.509998
0.250000,-0.940000,-0.090000,-18.010000,-31.230000,26.440001
-0.050000,-0.980000,-0.200000,4.380000,-17.150000,-27.950001
-0.620000,-0.960000,-0.410000,-4.170000,14.030000,-50.950001
-0.480000,-0.940000,-0.280000,-21.469999,-8.500000,62.880001
0.060000,-0.940000,-0.160000,-12.630000,13.240000,34.950001
-0.290000,-0.920000,-0.430000,-20.879999,70.279999,-2.020000
-0.300000,-0.940000,-0.390000,-43.790001,87.099998,18.340000
-0.170000,-0.880000,-0.390000,-54.439999,84.239998,-0.940000
-0.260000,-0.870000,-0.520000,-42.709999,114.459999,-13.600000
0.070000,-0.940000,-0.460000,26.450001,-32.349998,14.430000
-0.340000,-0.860000,-0.880000,22.870001,24.440001,-29.350000
-0.340000,-0.860000,-0.500000,-42.209999,-20.559999,35.790001
0.080000,-0.880000,-0.160000,-6.150000,-64.440002,23.500000
0.100000,-0.980000,-0.330000,45.060001,-84.330002,-45.950001
-0.650000,-0.860000,-0.490000,-22.400000,-35.150002,-28.129999
-0.230000,-0.940000,-0.560000,-10.330000,-45.889999,78.750000
0.050000,-0.940000,-0.090000,-8.490000,-20.840000,10.970000
-0.500000,-0.870000,-0.600000,5.980000,27.049999,-57.240002
-0.410000,-0.880000,-0.210000,-7.500000,-59.040001,82.480003
0.040000,-0.980000,-0.410000,26.950001,-9.340000,-7.190000
-0.700000,-0.870000,-0.530000,-22.830000,29.010000,-90.029999
-0.320000,-0.900000,-0.090000,-13.080000,-35.150002,95.309998
-0.040000,-0.960000,-0.200000,36.959999,-30.500000,5.790000
-0.430000,-0.970000,-0.820000,-13.780000,33.099998,-60.430000
-0.490000,-0.860000,0.070000,-45.070000,50.570000,-32.250000
-0.340000,-0.870000,-0.210000,23.459999,-43.209999,42.990002
-0.140000,-1.020000,-0.600000,35.450001,-36.900002,24.969999
-0.260000,-0.960000,-0.440000,-50.680000,37.990002,-39.470001
-0.430000,-0.830000,0.040000,-47.130001,25.559999,-16.469999
-0.240000,-0.920000,-0.170000,54.240002,-38.540001,41.320000
-0.180000,-1.060000,-0.660000,27.730000,-0.210000,7.980000
-0.350000,-0.980000,-0.370000,-62.009998,35.150002,-43.090000
-0.430000,-0.790000,0.170000,-0.630000,-20.430000,28.160000
-0.160000,-1.000000,-0.430000,24.639999,-36.790001,30.020000
-0.410000,-0.950000,-0.250000,-21.790001,-21.480000,31.910000
-0.010000,-0.930000,-0.110000,6.630000,-52.520000,5.510000
-0.280000,-0.930000,-0.240000,17.209999,10.920000,-94.070000
-0.770000,-0.890000,-0.480000,-12.830000,-14.890000,11.430000
-0.370000,-0.990000,-0.280000,-23.330000,-9.560000,64.779999
-0.130000,-0.930000,-0.160000,14.400000,-30.690001,36.630001
-0.220000,-0.950000,0.020000,17.750000,-19.750000,-1.830000
-0.420000,-1.060000,-0.120000,0.160000,-23.020000,-52.540001
-0.660000,-1.010000,-0.210000,4.540000,-15.480000,-2.610000
-0.500000,-0.800000,-0.260000,-10.560000,-29.240000,57.849998
0.010000,-0.920000,-0.020000,1.330000,-32.389999,21.760000
-0.130000,-0.980000,-0.080000,-3.630000,-25.320000,-30.850000
-0.600000,-0.960000,-0.090000,-37.180000,-24.430000,-101.919998
-0.690000,-1.000000,0.000000,-17.280001,-25.959999,-11.760000
-0.230000,-0.930000,-0.040000,27.850000,-14.370000,50.860001
0.140000,-0.870000,-0.050000,4.440000,-19.900000,3.960000
-0.140000,-0.870000,0.020000,-28.980000,-20.440001,-20.629999
-0.550000,-1.010000,-0.070000,-5.110000,21.660000,-43.290001
-0.450000,-1.070000,-0.070000,-0.550000,3.380000,25.160000
-0.290000,-0.940000,0.020000,11.690000,11.050000,48.110001
0.100000,-0.890000,0.010000,20.510000,-18.920000,29.660000
-0.010000,-0.990000,-0.060000,-31.870001,-18.510000,-31.180000
-0.700000,-1.020000,-0.030000,-15.660000,10.210000,-45.680000
-0.520000,-0.980000,-0.010000,-7.310000,4.880000,37.529999
-0.110000,-0.960000,0.040000,26.299999,2.420000,55.639999
0.150000,-0.900000,0.060000,-8.290000,-7.080000,15.370000
-0.110000,-0.970000,-0.080000,-23.750000,-19.190001,-29.150000
-0.750000,-0.990000,-0.070000,-23.059999,16.389999,-53.230000
-0.350000,-1.040000,0.190000,4.710000,17.639999,28.980000
-0.130000,-0.930000,-0.050000,17.139999,11.560000,49.980000
0.000000,-0.900000,0.080000,-2.100000,-9.450000,19.500000
-0.150000,-1.000000,-0.070000,-26.469999,-20.490000,-31.290001
-0.560000,-1.020000,-0.020000,-20.600000,4.950000,-36.590000
-0.310000,-1.030000,0.150000,6.980000,16.170000,18.270000
-0.180000,-0.990000,0.040000,7.410000,5.540000,49.759998
-0.030000,-0.900000,0.000000,0.200000,-9.660000,26.930000
-0.080000,-0.900000,0.040000,-12.450000,-16.820000,-13.170000
-0.440000,-1.030000,0.000000,-34.849998,-7.980000,-45.889999
-0.620000,-1.040000,-0.030000,-4.760000,4.270000,13.730000
-0.310000,-0.970000,-0.070000,11.460000,14.160000,42.189999
-0.070000,-0.880000,0.000000,4.340000,-7.640000,40.439999
-0.020000,-0.880000,0.060000,-1.850000,-11.460000,-6.500000
-0.380000,-1.010000,-0.050000,-36.009998,-3.980000,-53.119999
-0.630000,-0.990000,0.040000,-17.570000,10.600000,-10.010000
-0.470000,-0.950000,0.000000,18.600000,28.809999,26.730000
-0.130000,-0.930000,-0.080000,1.630000,-13.730000,43.189999
-0.050000,-0.910000,0.080000,-4.360000,-3.520000,-4.270000
-0.150000,-1.010000,-0.090000,-21.690001,-11.440000,-33.160000
-0.590000,-1.010000,-0.010000,-16.450001,8.800000,-31.850000
-0.390000,-1.020000,0.070000,5.300000,13.690000,27.570000
-0.240000,-0.900000,0.120000,-5.310000,1.880000,32.650002
-0.010000,-0.880000,0.090000,-4.370000,-11.280000,21.950001
-0.100000,-0.960000,-0.030000,-7.230000,-15.400000,-21.299999
-0.470000,-1.010000,-0.040000,-24.900000,-6.670000,-49.139999
-0.550000,-1.030000,0.120000,-5.930000,-2.310000,16.540001
-0.290000,-0.940000,0.040000,0.330000,1.670000,35.700001
-0.050000,-0.890000,-0.080000,-0.310000,-18.910000,39.080002
